probe_id
1700010N08Rik
1700020D14Rik
2610044O15Rik8
4932411N23Rik
AF067061
AF067063
Asmt
Btbd35f17
Btbd35f21
Btbd35f23
Cacng8
Ccl21b
Ces5a
D5Ertd579e
ENSMUSG00000064341
ENSMUSG00000064345
ENSMUSG00000064351
ENSMUSG00000064354
ENSMUSG00000064356
ENSMUSG00000064357
ENSMUSG00000064358
ENSMUSG00000064360
ENSMUSG00000064363
ENSMUSG00000064367
ENSMUSG00000064368
ENSMUSG00000064370
ENSMUSG00000065947
Erdr1
G530011O06Rik_chrYm
Gm11008
Gm11237
Gm16367
Gm20736
Gm20738
Gm20767
Gm20809
Gm20823
Gm20857
Gm20867
Gm20871
Gm20879
Gm20917
Gm20939
Gm20987
Gm21064
Gm21083
Gm21149
Gm21188
Gm21190
Gm21242
Gm21258
Gm21276
Gm21292
Gm21304
Gm21319
Gm21440
Gm21450
Gm21671
Gm21704
Gm21761
Gm21814
Gm21818
Gm21943
Gm23450
Gm28073
Gm28074
Gm28082
Gm28092
Gm28103
Gm28104
Gm28124
Gm28126
Gm28137
Gm28138
Gm28152
Gm28157
Gm28173
Gm28201
Gm28207
Gm28208
Gm28218
Gm28235
Gm28244
Gm28245
Gm28246
Gm28249
Gm28250
Gm28260
Gm28264
Gm28276
Gm28278
Gm28279
Gm28297
Gm28298
Gm28311
Gm28315
Gm28318
Gm28325
Gm28326
Gm28332
Gm28345
Gm28346
Gm28352
Gm28365
Gm28367
Gm28395
Gm28440
Gm28454
Gm28460
Gm28469
Gm28470
Gm28472
Gm28475
Gm28509
Gm28517
Gm28519
Gm28521
Gm28522
Gm28532
Gm28549
Gm28550
Gm28565
Gm28604
Gm28633
Gm28664
Gm28668
Gm28672
Gm28673
Gm28674
Gm28681
Gm28684
Gm28687
Gm28696
Gm28709
Gm28733
Gm28735
Gm28743
Gm28758
Gm28771
Gm28772
Gm28774
Gm28775
Gm28786
Gm28798
Gm28813
Gm28816
Gm28817
Gm28823
Gm28832
Gm28834
Gm28840
Gm28842
Gm28850
Gm28852
Gm28878
Gm28880
Gm28887
Gm28889
Gm28898
Gm28930
Gm28938
Gm28945
Gm28947
Gm28964
Gm28965
Gm28966
Gm29021
Gm29025
Gm29027
Gm29028
Gm29060
Gm29061
Gm29070
Gm29071
Gm29080
Gm29089
Gm29090
Gm29116
Gm29117
Gm29130
Gm29132
Gm29146
Gm29194
Gm29203
Gm29206
Gm29209
Gm29220
Gm29221
Gm29222
Gm29270
Gm29271
Gm29297
Gm29302
Gm29303
Gm29305
Gm29315
Gm29343
Gm29363
Gm29364
Gm29373
Gm29379
Gm29384
Gm29393
Gm29399
Gm29406
Gm29416
Gm29425
Gm29444
Gm29446
Gm29449
Gm29450
Gm29467
Gm29472
Gm29498
Gm29522
Gm29532
Gm29537
Gm29547
Gm29557
Gm29565
Gm29566
Gm29612
Gm29616
Gm29628
Gm29648
Gm29654
Gm29655
Gm29662
Gm30045
Gm30613
Gm30705
Gm31422
Gm32114
Gm32181
Gm32856
Gm3383
Gm34550
Gm34716
Gm35070
Gm36161
Gm36261
Gm36345
Gm36467
Gm36929
Gm37075
Gm37112
Gm37157
Gm37231
Gm37346
Gm37434
Gm37451
Gm37454
Gm37538
Gm37547
Gm37574
Gm37690
Gm37721
Gm37740
Gm37798
Gm37840
Gm37875
Gm37937
Gm37948
Gm37952
Gm38054
Gm38084
Gm38136
Gm38370
Gm38371
Gm3893
Gm40348
Gm428
Gm43391
Gm4340
Gm48265
Jakmip3
Kcnh8
LOC100861615
LOC108168570
LOC108168574
LOC108168609
LOC115489292
LOC115489294
LOC115489295
LOC115489296
Mef2c
Muc3
Mucl1
Mup22
Noc2l
Orly_chrYp
Phf10
Pisd-ps3
Prkcg
Ranbp3l
Rhox5
Samd11
Slc25a37
Snap91
Snord116l1
Srsy
Ssty2
Tcstv1
Tctn2
Tmem196
Tmem267
Tnrc18
Ulbp1
Vmn2r-ps159
Vmn2r122
Vmn2r123
Wls
